Date,Tweet
2022-09-29 15:10:30+00:00,"Top 10 $QQQ Holdings 

And Credit Rating

$AAPL : AAA
$MSFT : AAA
$AMZN : A1
$TSLA : BA1
$GOOG: AA2
$GOOGL: AA2
$META : A1
$NVDA : A2
$PEP : A1
$COST : AA3

In the coming months investors will learn why credit ratings were important."
2022-09-29 13:02:19+00:00,That's right everyone - $GOOG is officially a shitco. 1 year ago it was the greatest business in existence. Now it is simply a second rate ad platform on top of aged out tech.
2022-09-29 10:18:43+00:00,"Stocks I think entering intriguing levels to add to (several I’m already overweight):

$AMZN - $100
$GOOG - $90
$AXON - $100
$CELH - $75
$ZS - $150
$AAPL - $130
$HD - $275
$DDOG - $80"
2022-09-29 09:20:12+00:00,"it is my duty to put this round goog on tl regularly 🫡 we all need a bit of devastation once in a while 
https://t.co/dkhqSKAGL8"
2022-09-29 04:59:06+00:00,"$GOOG smells of Ballmer-era $MSFT. Founders departed long ago to sip mojitos, suits swooped in to siphon the cash cow. Too many pampered employees earning 6-7 digits to squeeze out a few %. Ad blocker risk.

Where’s the next GMail, YouTube, Android? Those happened 15 yrs ago."
2022-09-29 00:30:32+00:00,"⚡️Watchlist for 9/29/22⚡️

✅ $SPY 
📈Calls Over 372.6/373.5
📉Puts Under 368
🚗 $TSLA
📈Calls Over 289
📉Puts Under 284
💻 $GOOG
📈Calls Over 101.50
📉Puts Under 100
📱 $META
📈Calls over 143

🔥 TURN NOTIS ON!! BE READY 🔥

⚡️LETS BANK + LEARN💰"
2022-09-28 22:37:12+00:00,"$GOOG #GOOG Falling wedge breakout with the MACD curling up. 

Favors more upside. https://t.co/axzQ4LXZ7g"
2022-09-28 15:21:54+00:00,"Instit investors selling $AAPL today (-3.4%) more likely to put money into $GOOG (+1.3%) or $MSFT (+1.0%) than $TSLA (flat). Key man risk, non-recurring rev stream, free cash flow strategy in question, high beta."
2022-09-28 00:03:53+00:00,"Goog morning 😴
https://t.co/YEsuysACPm"
2022-09-28 00:00:36+00:00,"Google $GOOG $GOOGL Stock Didn’t Move After a Staff Meeting Revealed Negative Sentiment on Budget Cuts. 👀

#GOOGLE #GOOG #GOOGL #StockMarket #Investing https://t.co/N9IbKBG9zE"
2022-09-26 20:12:51+00:00,"Who knows when this market bottoms with lawyer Powell as the Fed chair but I’m seeing stocks like $GOOG $GOOGL now trading for 16x forward earnings and 11x EV/EBITDA.
Rarely can you buy a monopoly stock with a 26% return on invested capital at this valuation."
2022-09-26 15:52:03+00:00,"5 stocks I plan to buy and hold for the next 10-20 years:
$AAPL
$MSFT
$GOOG
$AMZN
$V

What are you holding?"
2022-09-26 14:22:57+00:00,"Today I sold my $ADBE position and put the money into $GOOG $CRM. 
Here are my reasons 👇 https://t.co/WXg387sirq"
2022-09-26 12:45:18+00:00,"Here are 4 companies we are buying as much of as possible:
$MSFT
$AAPL
$GOOG
$AMZN

Some of the best companies in the world &amp; they're on SALE‼️"
2022-09-25 22:43:13+00:00,"Warren Buffett, the 4th richest American (worth $100 Billion) recommends investing in an S&amp;P 500 Index Fund

Over 20% of the S&amp;P 500 is made up of 5 stocks: 

7.3% Apple $AAPL
5.7% Microsoft $MSFT
3.6% Google $GOOG $GOOGL
3.3% Amazon $AMZN
2.5% Tesla $TSLA

Let’s discuss each:"
2022-09-25 14:12:00+00:00,"$GOOG #GOOG Daily candle falling wedge showing the short-term bull thesis. 

Weekly descending triangle breakdown w/ a huge volume gap below showing the longer-term bear thesis. 

I post these charts for another perspective, you have to make the trades your own. https://t.co/0eWNHVBb23"
2022-09-25 09:23:02+00:00,@anything4views Chad can you buy me goog car if I quit ciggies
2022-09-24 18:25:03+00:00,"Since 8/10/20 when @MicroStrategy adopted the #Bitcoin Standard:

BTC +58%, MSTR +55%, GOOG +33%, AAPL +33%, ORCL +17%, MSFT +14%, S&amp;P 500 +10%, IBM +1%, NASDAQ -1%, GOLD -19%, BOND -19%, CRM -25%, AMZN -28%, SILVER -34%, META -47%, SAP -50%, NFLX -53%"
2022-09-24 17:54:35+00:00,"2022 Returns
$TWTR: -4%
$AAPL: -15%
$TSLA: -22%
$MSFT: -29%
$GOOG: -31%
$AMZN: -32%
$GME: -33%
$CRM: -42%
$TEAM: -43%
$SNOW: -49%
$ADBE: -50%
$MRNA: -51%
$AMD: -53%
$PYPL: -54%
$ETSY: -56%
$NVDA: -57%
$META: -58%
$ZM: -60%
$SPOT: -62%
$NFLX: -62%
$SQ: -65%
$SNAP: -78%
$SHOP: -79%"
2022-09-22 21:57:55+00:00,"$COST is growing faster than $AAPL, $GOOG, $META, $AMZN, $MSFT.

It’s growing faster without leverage and without dilution. 

Also, none of those other companies sell a hot dog and drink for $1.49"
2022-09-22 20:58:54+00:00,"Ｇｏｏｇ Ｍｏｒｎｉｎｇ🌫🌫🌳
✿ƙꪗꪊ✿ https://t.co/z3bCUu5O3l"
2022-09-22 19:14:53+00:00,$GOOG #GOOG Getting TOIGHT. https://t.co/yQI3WX38HP
2022-09-22 14:11:46+00:00,"Bought more $NVDA, $GOOG and $AMZN for longer term."
